2018-04-14 22:41:38:316 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.621 seconds (JVM running for 10.702)
2018-04-14 22:49:32:256 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6077 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 22:49:32:258 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 22:49:38:941 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.087 seconds (JVM running for 9.669)
2018-04-14 22:50:52:546 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6079 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 22:50:52:549 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 22:51:00:059 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 9.09 seconds (JVM running for 10.785)
2018-04-14 22:53:22:773 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6082 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 22:53:22:774 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 22:53:30:377 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.964 seconds (JVM running for 10.639)
2018-04-14 23:34:22:830 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6107 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 23:34:22:897 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 23:34:30:932 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 9.438 seconds (JVM running for 11.152)
2018-04-14 23:35:12:211 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6109 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 23:35:12:214 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 23:35:19:309 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.354 seconds (JVM running for 10.071)
2018-04-14 23:35:43:801 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6111 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 23:35:43:803 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 23:35:51:251 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.803 seconds (JVM running for 10.431)
2018-04-14 23:36:50:072 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6113 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 23:36:50:073 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 23:36:57:150 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.329 seconds (JVM running for 10.023)
2018-04-14 23:39:10:181 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6115 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 23:39:10:183 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 23:39:17:111 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.172 seconds (JVM running for 9.764)
2018-04-14 23:40:57:041 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6118 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 23:40:57:044 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 23:41:03:711 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.073 seconds (JVM running for 9.633)
